,Text Type,API Name,File Name,Dataset,ai_score,human_score,Error_message
98,Human,Originality,,CS_TASK2hum,0.0117,0.9883,
99,Human,Originality,,CS_TASK2hum,0.3558,0.6442,
100,Human,Originality,,CS_TASK2hum,0.0444,0.9556,
101,Human,Originality,,CS_TASK2hum,0.04,0.96,
102,Human,Originality,,CS_TASK2hum,0.2733,0.7267,
103,Human,Originality,,CS_TASK2hum,0.073,0.927,
104,Human,Originality,,CS_TASK2hum,0.029,0.971,
105,Human,Originality,,CS_TASK2hum,0.0293,0.9707,
106,Human,Originality,,CS_TASK2hum,0.0357,0.9643,
107,Human,Originality,,CS_TASK2hum,0.0539,0.9461,
108,Human,Originality,,CS_TASK2hum,0.0186,0.9814,
109,Human,Originality,,CS_TASK2hum,0.0303,0.9697,
110,Human,Originality,,CS_TASK2hum,0.0777,0.9223,
111,Human,Originality,,CS_TASK2hum,0.2355,0.7645,
112,Human,Originality,,CS_TASK2hum,0.0558,0.9442,
113,Human,Originality,,CS_TASK2hum,0.0347,0.9653,
114,Human,Originality,,CS_TASK2hum,0.0382,0.9618,
115,Human,Originality,,CS_TASK2hum,0.045,0.955,
116,Human,Originality,,CS_TASK2hum,0.0516,0.9484,
117,Human,Originality,,CS_TASK2hum,0.0095,0.9905,
118,Human,Originality,,CS_TASK2hum,0.0737,0.9263,
119,Human,Originality,,CS_TASK2hum,0.0238,0.9762,
120,Human,Originality,,CS_TASK2hum,0.0315,0.9685,
121,Human,Originality,,CS_TASK2hum,0.0029,0.9971,
122,Human,Originality,,CS_TASK2hum,0.0184,0.9816,
123,Human,Originality,,CS_TASK2hum,0.0551,0.9449,
124,Human,Originality,,CS_TASK2hum,0.0085,0.9915,
125,Human,Originality,,CS_TASK2hum,0.0652,0.9348,
126,Human,Originality,,CS_TASK2hum,0.0123,0.9877,
127,Human,Originality,,CS_TASK2hum,0.3859,0.6141,
128,Human,Originality,,CS_TASK2hum,0.9982,0.0018,
129,Human,Originality,,CS_TASK2hum,0.015,0.985,
130,Human,Originality,,CS_TASK2hum,0.0441,0.9559,
131,Human,Originality,,CS_TASK2hum,0.3155,0.6845,
132,Human,Originality,,CS_TASK2hum,0.0097,0.9903,
133,Human,Originality,,CS_TASK2hum,0.0084,0.9916,
134,Human,Originality,,CS_TASK2hum,0.027,0.973,
135,Human,Originality,,CS_TASK2hum,0.0433,0.9567,
136,Human,Originality,,CS_TASK2hum,0.1269,0.8731,
137,Human,Originality,,CS_TASK2hum,0.9898,0.0101999999999999,
138,Human,Originality,,CS_TASK2hum,0.8297,0.1703,
139,Human,Originality,,CS_TASK2hum,0.0165,0.9835,
140,Human,Originality,,CS_TASK2hum,0.0611,0.9389,
141,Human,Originality,,CS_TASK2hum,0.0618,0.9382,
142,Human,Originality,,CS_TASK2hum,0.0079,0.9921,
143,Human,Originality,,CS_TASK2hum,0.0085,0.9915,
144,Human,Originality,,CS_TASK2hum,0.0174,0.9826,
145,Human,Originality,,CS_TASK2hum,0.0077,0.9923,
146,Human,Originality,,CS_TASK2hum,0.0143,0.9857,
147,Human,Originality,,CS_TASK2hum,0.9999,9.9999999999989e-05,
148,Human,Originality,,CS_TASK2hum,0.2085,0.7915,
149,Human,Originality,,CS_TASK2hum,0.0666,0.9334,
150,Human,Originality,,CS_TASK2hum,0.0382,0.9618,
151,Human,Originality,,CS_TASK2hum,0.1271,0.8729,
152,Human,Originality,,CS_TASK2hum,0.0302,0.9698,
153,Human,Originality,,CS_TASK2hum,0.0209,0.9791,
154,Human,Originality,,CS_TASK2hum,0.2792,0.7208,
155,Human,Originality,,CS_TASK2hum,0.9494,0.0505999999999999,
156,Human,Originality,,CS_TASK2hum,0.0212,0.9788,
157,Human,Originality,,CS_TASK2hum,0.4232,0.5768,
158,Human,Originality,,CS_TASK2hum,0.0782,0.9218,
159,Human,Originality,,CS_TASK2hum,0.017,0.983,
160,Human,Originality,,CS_TASK2hum,0.0069,0.9931,
161,Human,Originality,,CS_TASK2hum,0.0134,0.9866,
162,Human,Originality,,CS_TASK2hum,0.0568,0.9432,
163,Human,Originality,,CS_TASK2hum,0.0189,0.9811,
164,Human,Originality,,CS_TASK2hum,0.0072,0.9928,
165,Human,Originality,,CS_TASK2hum,0.0342,0.9658,
166,Human,Originality,,CS_TASK2hum,0.0069,0.9931,
167,Human,Originality,,CS_TASK2hum,0.0976,0.9024,
168,Human,Originality,,CS_TASK2hum,0.783,0.2169999999999999,
169,Human,Originality,,CS_TASK2hum,0.9776,0.0223999999999999,
170,Human,Originality,,CS_TASK2hum,0.0178,0.9822,
171,Human,Originality,,CS_TASK2hum,0.0312,0.9688,
172,Human,Originality,,CS_TASK2hum,0.0577,0.9423,
173,Human,Originality,,CS_TASK2hum,0.0328,0.9672,
174,Human,Originality,,CS_TASK2hum,0.0101,0.9899,
175,Human,Originality,,CS_TASK2hum,0.1042,0.8958,
176,Human,Originality,,CS_TASK2hum,0.1812,0.8188,
177,Human,Originality,,CS_TASK2hum,0.0991,0.9009,
178,Human,Originality,,CS_TASK2hum,0.1262,0.8738,
179,Human,Originality,,CS_TASK2hum,0.0312,0.9688,
180,Human,Originality,,CS_TASK2hum,0.4045,0.5954999999999999,
181,Human,Originality,,CS_TASK2hum,0.0133,0.9867,
182,Human,Originality,,CS_TASK2hum,0.0153,0.9847,
183,Human,Originality,,CS_TASK2hum,0.1237,0.8763,
184,Human,Originality,,CS_TASK2hum,0.0332,0.9668,
185,Human,Originality,,CS_TASK2hum,0.1051,0.8949,
186,Human,Originality,,CS_TASK2hum,0.0523,0.9477,
187,Human,Originality,,CS_TASK2hum,0.2189,0.7811,
188,Human,Originality,,CS_TASK2hum,0.0082,0.9918,
189,Human,Originality,,CS_TASK2hum,0.0935,0.9065,
190,Human,Originality,,CS_TASK2hum,0.4882,0.5118,
191,Human,Originality,,CS_TASK2hum,0.2744,0.7256,
192,Human,Originality,,CS_TASK2hum,0.0549,0.9451,
193,Human,Originality,,CS_TASK2hum,0.0205,0.9795,
194,Human,Originality,,CS_TASK2hum,0.0076,0.9924,
195,Human,Originality,,CS_TASK2hum,0.0213,0.9787,
196,Human,Originality,,CS_TASK2hum,0.0097,0.9903,
197,Human,Originality,,CS_TASK2hum,0.0098,0.9902,
198,Human,Originality,,CS_TASK2hum,0.0231,0.9769,
199,Human,Originality,,CS_TASK2hum,0.9892,0.0108,
200,Human,Originality,,CS_TASK2hum,0.0072,0.9928,
201,Human,Originality,,CS_TASK2hum,0.0666,0.9334,
202,Human,Originality,,CS_TASK2hum,0.093,0.907,
203,Human,Originality,,CS_TASK2hum,0.0059,0.9941,
204,Human,Originality,,CS_TASK2hum,0.0301,0.9699,
205,Human,Originality,,CS_TASK2hum,0.0376,0.9624,
206,Human,Originality,,CS_TASK2hum,0.049,0.951,
207,Human,Originality,,CS_TASK2hum,0.145,0.855,
208,Human,Originality,,CS_TASK2hum,0.0286,0.9714,
209,Human,Originality,,CS_TASK2hum,0.3101,0.6899,
210,Human,Originality,,CS_TASK2hum,0.1527,0.8472999999999999,
211,Human,Originality,,CS_TASK2hum,0.0681,0.9319,
212,Human,Originality,,CS_TASK2hum,0.1208,0.8792,
213,Human,Originality,,CS_TASK2hum,0.4368,0.5631999999999999,
214,Human,Originality,,CS_TASK2hum,0.0858,0.9142,
215,Human,Originality,,CS_TASK2hum,0.1024,0.8976,
216,Human,Originality,,CS_TASK2hum,0.1002,0.8998,
217,Human,Originality,,CS_TASK2hum,0.0335,0.9665,
218,Human,Originality,,CS_TASK2hum,0.065,0.935,
219,Human,Originality,,CS_TASK2hum,0.1512,0.8488,
220,Human,Originality,,CS_TASK2hum,0.1439,0.8561,
221,Human,Originality,,CS_TASK2hum,0.021,0.979,
222,Human,Originality,,CS_TASK2hum,0.0133,0.9867,
223,Human,Originality,,CS_TASK2hum,0.0202,0.9798,
224,Human,Originality,,CS_TASK2hum,0.1092,0.8908,
225,Human,Originality,,CS_TASK2hum,0.0275,0.9725,
226,Human,Originality,,CS_TASK2hum,0.1213,0.8787,
227,Human,Originality,,CS_TASK2hum,0.0085,0.9915,
228,Human,Originality,,CS_TASK2hum,0.0355,0.9645,
229,Human,Originality,,CS_TASK2hum,0.1168,0.8832,
230,Human,Originality,,CS_TASK2hum,0.0766,0.9234,
231,Human,Originality,,CS_TASK2hum,0.0439,0.9561,
232,Human,Originality,,CS_TASK2hum,0.0573,0.9427,
233,Human,Originality,,CS_TASK2hum,0.0624,0.9376,
234,Human,Originality,,CS_TASK2hum,0.0355,0.9645,
235,Human,Originality,,CS_TASK2hum,0.9189,0.0810999999999999,
236,Human,Originality,,CS_TASK2hum,0.0168,0.9832,
237,Human,Originality,,CS_TASK2hum,0.9113,0.0887,
238,Human,Originality,,CS_TASK2hum,0.0252,0.9748,
239,Human,Originality,,CS_TASK2hum,0.0846,0.9154,
240,Human,Originality,,CS_TASK2hum,0.0468,0.9532,
241,Human,Originality,,CS_TASK2hum,0.0105,0.9895,
242,Human,Originality,,CS_TASK2hum,0.0129,0.9871,
243,Human,Originality,,CS_TASK2hum,0.0081,0.9919,
244,Human,Originality,,CS_TASK2hum,0.0643,0.9357,
245,Human,Originality,,CS_TASK2hum,0.1001,0.8999,
246,Human,Originality,,CS_TASK2hum,0.9216,0.0784,
247,Human,Originality,,CS_TASK2hum,0.0117,0.9883,
248,Human,Originality,,CS_TASK2hum,0.0386,0.9614,
249,Human,Originality,,CS_TASK2hum,0.0455,0.9545,
250,Human,Originality,,CS_TASK2hum,0.0222,0.9778,
251,Human,Originality,,CS_TASK2hum,0.0132,0.9868,
252,Human,Originality,,CS_TASK2hum,0.0272,0.9728,
253,Human,Originality,,CS_TASK2hum,0.0156,0.9844,
254,Human,Originality,,CS_TASK2hum,0.0065,0.9935,
255,Human,Originality,,CS_TASK2hum,0.3126,0.6874,
256,Human,Originality,,CS_TASK2hum,0.1466,0.8533999999999999,
257,Human,Originality,,CS_TASK2hum,0.0139,0.9861,
258,Human,Originality,,CS_TASK2hum,0.6609,0.3390999999999999,
259,Human,Originality,,CS_TASK2hum,0.0378,0.9622,
260,Human,Originality,,CS_TASK2hum,0.0117,0.9883,
261,Human,Originality,,CS_TASK2hum,0.0171,0.9829,
262,Human,Originality,,CS_TASK2hum,0.0994,0.9006,
263,Human,Originality,,CS_TASK2hum,0.0453,0.9547,
264,Human,Originality,,CS_TASK2hum,0.0307,0.9693,
265,Human,Originality,,CS_TASK2hum,0.5994,0.4005999999999999,
266,Human,Originality,,CS_TASK2hum,0.0184,0.9816,
267,Human,Originality,,CS_TASK2hum,0.0293,0.9707,
268,Human,Originality,,CS_TASK2hum,0.1144,0.8855999999999999,
269,Human,Originality,,CS_TASK2hum,0.0487,0.9513,
270,Human,Originality,,CS_TASK2hum,0.0229,0.9771,
271,Human,Originality,,CS_TASK2hum,0.0144,0.9856,
272,Human,Originality,,CS_TASK2hum,0.0122,0.9878,
273,Human,Originality,,CS_TASK2hum,0.0104,0.9896,
274,Human,Originality,,CS_TASK2hum,0.0244,0.9756,
275,Human,Originality,,CS_TASK2hum,0.0128,0.9872,
276,Human,Originality,,CS_TASK2hum,0.0036,0.9964,
277,Human,Originality,,CS_TASK2hum,0.2857,0.7142999999999999,
278,Human,Originality,,CS_TASK2hum,0.0339,0.9661,
279,Human,Originality,,CS_TASK2hum,0.1987,0.8013,
280,Human,Originality,,CS_TASK2hum,0.0378,0.9622,
281,Human,Originality,,CS_TASK2hum,0.0747,0.9253,
282,Human,Originality,,CS_TASK2hum,0.014,0.986,
283,Human,Originality,,CS_TASK2hum,0.0629,0.9371,
284,Human,Originality,,CS_TASK2hum,0.0389,0.9611,
285,Human,Originality,,CS_TASK2hum,0.0377,0.9623,
286,Human,Originality,,CS_TASK2hum,0.0335,0.9665,
287,Human,Originality,,CS_TASK2hum,0.0155,0.9845,
288,Human,Originality,,CS_TASK2hum,0.0364,0.9636,
289,Human,Originality,,CS_TASK2hum,0.163,0.837,
290,Human,Originality,,CS_TASK2hum,0.0535,0.9465,
291,Human,Originality,,CS_TASK2hum,0.0258,0.9742,
292,Human,Originality,,CS_TASK2hum,0.2042,0.7958000000000001,
293,Human,Originality,,CS_TASK2hum,0.4582,0.5418000000000001,
294,Human,Originality,,CS_TASK2hum,0.0151,0.9849,
295,Human,Originality,,CS_TASK2hum,0.0183,0.9817,
296,Human,Originality,,CS_TASK2hum,0.058,0.942,
297,Human,Originality,,CS_TASK2hum,0.0255,0.9745,
298,Human,Originality,,CS_TASK2hum,0.0268,0.9732,
299,Human,Originality,,CS_TASK2hum,0.0653,0.9347,
300,Human,Originality,,CS_TASK2hum,0.0046,0.9954,
301,Human,Originality,,CS_TASK2hum,0.8116,0.1884,
302,Human,Originality,,CS_TASK2hum,0.0316,0.9684,
303,Human,Originality,,CS_TASK2hum,0.0153,0.9847,
304,Human,Originality,,CS_TASK2hum,0.3843,0.6157,
305,Human,Originality,,CS_TASK2hum,0.0239,0.9761,
306,Human,Originality,,CS_TASK2hum,0.0789,0.9211,
307,Human,Originality,,CS_TASK2hum,0.0147,0.9853,
308,Human,Originality,,CS_TASK2hum,0.0274,0.9726,
309,Human,Originality,,CS_TASK2hum,0.0523,0.9477,
310,Human,Originality,,CS_TASK2hum,0.0089,0.9911,
311,Human,Originality,,CS_TASK2hum,0.069,0.931,
312,Human,Originality,,CS_TASK2hum,0.8319,0.1681,
313,Human,Originality,,CS_TASK2hum,0.0609,0.9391,
314,Human,Originality,,CS_TASK2hum,0.0341,0.9659,
315,Human,Originality,,CS_TASK2hum,0.2607,0.7393000000000001,
316,Human,Originality,,CS_TASK2hum,0.0273,0.9727,
317,Human,Originality,,CS_TASK2hum,0.9987,0.0012999999999999,
318,Human,Originality,,CS_TASK2hum,0.0877,0.9123,
319,Human,Originality,,CS_TASK2hum,0.011,0.989,
320,Human,Originality,,CS_TASK2hum,0.3016,0.6984,
321,Human,Originality,,CS_TASK2hum,0.0057,0.9943,
322,Human,Originality,,CS_TASK2hum,0.0563,0.9437,
323,Human,Originality,,CS_TASK2hum,0.1306,0.8694,
324,Human,Originality,,CS_TASK2hum,0.1321,0.8679,
325,Human,Originality,,CS_TASK2hum,0.0258,0.9742,
326,Human,Originality,,CS_TASK2hum,0.0808,0.9192,
327,Human,Originality,,CS_TASK2hum,0.0246,0.9754,
328,Human,Originality,,CS_TASK2hum,0.0328,0.9672,
329,Human,Originality,,CS_TASK2hum,0.323,0.677,
330,Human,Originality,,CS_TASK2hum,0.0428,0.9572,
331,Human,Originality,,CS_TASK2hum,0.9114,0.0886,
332,Human,Originality,,CS_TASK2hum,0.0316,0.9684,
333,Human,Originality,,CS_TASK2hum,0.0142,0.9858,
334,Human,Originality,,CS_TASK2hum,0.0038,0.9962,
335,Human,Originality,,CS_TASK2hum,0.0724,0.9276,
336,Human,Originality,,CS_TASK2hum,0.0487,0.9513,
337,Human,Originality,,CS_TASK2hum,0.0583,0.9417,
338,Human,Originality,,CS_TASK2hum,0.067,0.933,
339,Human,Originality,,CS_TASK2hum,0.975,0.025,
340,Human,Originality,,CS_TASK2hum,0.0842,0.9158,
341,Human,Originality,,CS_TASK2hum,0.4414,0.5586,
342,Human,Originality,,CS_TASK2hum,0.007,0.993,
343,Human,Originality,,CS_TASK2hum,0.0615,0.9385,
344,Human,Originality,,CS_TASK2hum,0.0115,0.9885,
345,Human,Originality,,CS_TASK2hum,0.0154,0.9846,
346,Human,Originality,,CS_TASK2hum,0.0344,0.9656,
347,Human,Originality,,CS_TASK2hum,0.0129,0.9871,
348,Human,Originality,,CS_TASK2hum,0.2722,0.7278,
349,Human,Originality,,CS_TASK2hum,0.1598,0.8402000000000001,
350,Human,Originality,,CS_TASK2hum,0.0257,0.9743,
351,Human,Originality,,CS_TASK2hum,0.1752,0.8248,
352,Human,Originality,,CS_TASK2hum,0.0059,0.9941,
353,Human,Originality,,CS_TASK2hum,0.012,0.988,
354,Human,Originality,,CS_TASK2hum,0.0418,0.9582,
355,Human,Originality,,CS_TASK2hum,0.0735,0.9265,
356,Human,Originality,,CS_TASK2hum,0.999,0.001,
357,Human,Originality,,CS_TASK2hum,0.0288,0.9712,
358,Human,Originality,,CS_TASK2hum,0.0209,0.9791,
359,Human,Originality,,CS_TASK2hum,0.1391,0.8609,
360,Human,Originality,,CS_TASK2hum,0.0098,0.9902,
361,Human,Originality,,CS_TASK2hum,0.2304,0.7696000000000001,
362,Human,Originality,,CS_TASK2hum,0.1045,0.8955,
363,Human,Originality,,CS_TASK2hum,0.2306,0.7694,
364,Human,Originality,,CS_TASK2hum,0.0404,0.9596,
365,Human,Originality,,CS_TASK2hum,0.0395,0.9605,
366,Human,Originality,,CS_TASK2hum,0.5887,0.4113,
367,Human,Originality,,CS_TASK2hum,0.0357,0.9643,
368,Human,Originality,,CS_TASK2hum,0.0775,0.9225,
369,Human,Originality,,CS_TASK2hum,0.1291,0.8709,
370,Human,Originality,,CS_TASK2hum,0.0134,0.9866,
371,Human,Originality,,CS_TASK2hum,0.099,0.901,
372,Human,Originality,,CS_TASK2hum,0.0144,0.9856,
373,Human,Originality,,CS_TASK2hum,0.0222,0.9778,
374,Human,Originality,,CS_TASK2hum,0.2671,0.7329,
375,Human,Originality,,CS_TASK2hum,0.0624,0.9376,
376,Human,Originality,,CS_TASK2hum,0.0493,0.9507,
377,Human,Originality,,CS_TASK2hum,0.8993,0.1007,
378,Human,Originality,,CS_TASK2hum,0.0434,0.9566,
379,Human,Originality,,CS_TASK2hum,0.3871,0.6129,
380,Human,Originality,,CS_TASK2hum,0.1159,0.8841,
381,Human,Originality,,CS_TASK2hum,0.0068,0.9932,
382,Human,Originality,,CS_TASK2hum,0.1005,0.8995,
383,Human,Originality,,CS_TASK2hum,0.0696,0.9304,
384,Human,Originality,,CS_TASK2hum,0.0153,0.9847,
385,Human,Originality,,CS_TASK2hum,0.0083,0.9917,
386,Human,Originality,,CS_TASK2hum,0.2495,0.7505,
387,Human,Originality,,CS_TASK2hum,0.9742,0.0258,
388,Human,Originality,,CS_TASK2hum,0.0177,0.9823,
389,Human,Originality,,CS_TASK2hum,0.0164,0.9836,
390,Human,Originality,,CS_TASK2hum,0.8889,0.1110999999999999,
391,Human,Originality,,CS_TASK2hum,0.0184,0.9816,
392,Human,Originality,,CS_TASK2hum,0.4843,0.5157,
393,Human,Originality,,CS_TASK2hum,0.6138,0.3862,
394,Human,Originality,,CS_TASK2hum,0.0153,0.9847,
395,Human,Originality,,CS_TASK2hum,0.0336,0.9664,
396,Human,Originality,,CS_TASK2hum,0.6521,0.3479,
397,Human,Originality,,CS_TASK2hum,0.0113,0.9887,
398,Human,Originality,,CS_TASK2hum,0.0531,0.9469,
399,Human,Originality,,CS_TASK2hum,0.2395,0.7605,
400,Human,Originality,,CS_TASK2hum,0.0148,0.9852,
401,Human,Originality,,CS_TASK2hum,0.0176,0.9824,
402,Human,Originality,,CS_TASK2hum,0.6585,0.3415,
403,Human,Originality,,CS_TASK2hum,0.0137,0.9863,
404,Human,Originality,,CS_TASK2hum,0.0408,0.9592,
405,Human,Originality,,CS_TASK2hum,0.3334,0.6666000000000001,
406,Human,Originality,,CS_TASK2hum,0.0095,0.9905,
407,Human,Originality,,CS_TASK2hum,0.201,0.7989999999999999,
408,Human,Originality,,CS_TASK2hum,0.1213,0.8787,
409,Human,Originality,,CS_TASK2hum,0.0439,0.9561,
410,Human,Originality,,CS_TASK2hum,0.0221,0.9779,
411,Human,Originality,,CS_TASK2hum,0.2872,0.7128,
412,Human,Originality,,CS_TASK2hum,0.0185,0.9815,
413,Human,Originality,,CS_TASK2hum,0.0114,0.9886,
414,Human,Originality,,CS_TASK2hum,0.0121,0.9879,
415,Human,Originality,,CS_TASK2hum,0.5453,0.4547,
416,Human,Originality,,CS_TASK2hum,0.0516,0.9484,
417,Human,Originality,,CS_TASK2hum,0.0455,0.9545,
418,Human,Originality,,CS_TASK2hum,0.1789,0.8210999999999999,
419,Human,Originality,,CS_TASK2hum,0.0907,0.9093,
420,Human,Originality,,CS_TASK2hum,0.0523,0.9477,
421,Human,Originality,,CS_TASK2hum,0.0236,0.9764,
422,Human,Originality,,CS_TASK2hum,0.0235,0.9765,
423,Human,Originality,,CS_TASK2hum,0.5772,0.4227999999999999,
424,Human,Originality,,CS_TASK2hum,0.0229,0.9771,
425,Human,Originality,,CS_TASK2hum,0.1203,0.8797,
426,Human,Originality,,CS_TASK2hum,0.0316,0.9684,
427,Human,Originality,,CS_TASK2hum,0.309,0.6910000000000001,
428,Human,Originality,,CS_TASK2hum,0.2756,0.7243999999999999,
429,Human,Originality,,CS_TASK2hum,0.0385,0.9615,
430,Human,Originality,,CS_TASK2hum,0.2352,0.7648,
431,Human,Originality,,CS_TASK2hum,0.0336,0.9664,
432,Human,Originality,,CS_TASK2hum,0.2112,0.7888,
433,Human,Originality,,CS_TASK2hum,0.1498,0.8502000000000001,
434,Human,Originality,,CS_TASK2hum,0.8564,0.1435999999999999,
435,Human,Originality,,CS_TASK2hum,0.0305,0.9695,
436,Human,Originality,,CS_TASK2hum,0.799,0.2009999999999999,
437,Human,Originality,,CS_TASK2hum,0.0232,0.9768,
438,Human,Originality,,CS_TASK2hum,0.0105,0.9895,
439,Human,Originality,,CS_TASK2hum,0.0136,0.9864,
440,Human,Originality,,CS_TASK2hum,0.0332,0.9668,
441,Human,Originality,,CS_TASK2hum,0.2947,0.7053,
442,Human,Originality,,CS_TASK2hum,0.3091,0.6909000000000001,
443,Human,Originality,,CS_TASK2hum,0.0262,0.9738,
444,Human,Originality,,CS_TASK2hum,0.767,0.2329999999999999,
445,Human,Originality,,CS_TASK2hum,0.0194,0.9806,
